"","condition"
"sample66","A"
"sample71","A"
"sample12","A"
"sample7","A"
"sample47","A"
"sample86","A"
"sample11","A"
"sample26","A"
"sample20","A"
"sample13","A"
"sample92","A"
"sample100","A"
"sample69","A"
"sample60","A"
"sample2","A"
"sample25","A"
"sample94","A"
"sample109","A"
"sample110","A"
"sample9","A"
"sample19","A"
"sample53","A"
"sample31","A"
"sample22","A"
"sample103","A"
"sample52","A"
"sample27","A"
"sample77","A"
"sample73","A"
"sample101","A"
"sample61","A"
"sample88","A"
"sample50","A"
"sample8","A"
"sample97","A"
"sample78","A"
"sample102","A"
"sample17","A"
"sample74","A"
"sample65","A"
"sample43","A"
"sample82","A"
"sample38","A"
"sample28","A"
"sample107","A"
"sample54","A"
"sample55","A"
"sample79","A"
"sample80","A"
"sample105","A"
"sample85","A"
"sample40","A"
"sample83","A"
"sample18","A"
"sample76","A"
"sample46","A"
"sample29","A"
"sample64","A"
"sample72","A"
"sample23","A"
"sample176","B"
"sample181","B"
"sample122","B"
"sample117","B"
"sample157","B"
"sample196","B"
"sample121","B"
"sample136","B"
"sample130","B"
"sample123","B"
"sample202","B"
"sample210","B"
"sample179","B"
"sample170","B"
"sample112","B"
"sample135","B"
"sample204","B"
"sample219","B"
"sample220","B"
"sample119","B"
"sample129","B"
"sample163","B"
"sample141","B"
"sample132","B"
"sample213","B"
"sample162","B"
"sample137","B"
"sample187","B"
"sample183","B"
"sample211","B"
"sample171","B"
"sample198","B"
"sample160","B"
"sample118","B"
"sample207","B"
"sample188","B"
"sample212","B"
"sample127","B"
"sample184","B"
"sample175","B"
"sample153","B"
"sample192","B"
"sample148","B"
"sample138","B"
"sample217","B"
"sample164","B"
"sample165","B"
"sample189","B"
"sample190","B"
"sample215","B"
"sample195","B"
"sample150","B"
"sample193","B"
"sample128","B"
"sample186","B"
"sample156","B"
"sample139","B"
"sample174","B"
"sample182","B"
"sample133","B"
