"","sample87","sample58","sample76","sample4","sample85","sample20","sample101","sample65","sample12","sample72","sample40","sample11","sample75","sample109","sample74","sample7","sample88","sample92","sample53","sample35","sample197","sample168","sample186","sample114","sample195","sample130","sample211","sample175","sample122","sample182","sample150","sample121","sample185","sample219","sample184","sample117","sample198","sample202","sample163","sample145"
"TAS1R3",6,31,21,11,55,42,19,44,36,25,9,26,20,66,90,45,8,23,11,26,31,25,32,205,197,20,66,38,165,882,362,142,44,36,33,220,8,240,51,34
"AC231981.1",2,7,7,8,0,20,22,6,5,2,5,12,5,8,7,20,20,19,7,6,7,13,8,14,9,4,20,11,8,2,9,3,1,2,6,24,9,3,9,14
"TULP1",3,25,7,6,23,51,1,14,50,23,0,31,11,0,18,24,2,4,0,24,12,23,3,7,9,9,1,7,5,2,23,3,20,5,18,46,2,9,15,3
"C7orf31",189,285,197,661,292,280,610,323,276,298,255,669,845,53,724,614,468,336,182,320,332,257,155,379,560,167,99,110,202,202,454,51,93,73,265,247,122,200,142,325
"GJB1",0,318,10,141,108,335,1,2812,215,88,4,74,84,0,104,212,22,47,0,249,166,64,7707,78,4,31,280,561,128,501,21,2298,2,26,13,1,44,12,4,14
"CCDC127",1804,1060,1148,1638,975,1657,2898,1688,1386,1205,1365,1968,1918,2066,2603,2199,1891,1804,900,1200,1414,1972,954,1063,1490,1779,1623,3286,1454,743,522,1690,730,706,1536,1083,1584,1953,1039,1614
"YTHDF3",4749,4111,2935,10191,5301,4931,8719,7626,5882,4181,4221,7219,13738,7582,9248,7896,8283,5784,2457,4580,6155,5167,3927,4852,7898,5552,3670,7381,3151,3046,2465,8563,3205,3298,5521,11129,4460,3756,4141,10816
"ANKMY1",330,643,384,549,731,1031,683,978,839,722,394,913,894,155,1213,1015,538,531,351,645,1633,449,477,926,667,930,920,1289,1422,237,236,774,1412,255,999,689,502,473,357,586
"TCHH",27,13,33,35,10,6,65,12,10,6,29,48,62,6,43,44,21,26,23,11,1,35,29,9,7,21,12,24,11,71,32,2,4,34,11,24,9,16,30,32
"CPO",46,4,29,35,6,20,74,48,22,19,18,15,37,11,57,23,27,32,185,12,49,8,19,13,49,35,12,46,16,12,0,147,50,5,27,1,7,9,8,17
"VCPKMT",185,446,174,676,320,477,514,420,593,388,158,570,1100,192,786,542,218,298,158,413,393,517,192,392,313,334,539,642,208,270,165,300,118,136,244,451,267,260,239,677
"RGS20",41,5,6,62,19,4,29,20,15,10,31,29,52,6,26,28,99,44,6,8,3,57,6,11,17,9,13,5,2,13,5,2,176,15,1,174,4,11,93,99
"STAT6",8506,10195,8524,10983,9832,13099,20490,12701,11852,9208,11127,14792,11618,1393,17108,15424,10356,11349,6696,10647,10102,15673,5689,12748,6871,9972,9464,10565,8865,5619,2889,11462,2979,2831,7627,8048,8671,7869,3317,6843
"PPARA",2870,1283,1899,3660,1547,2263,2598,1790,1963,1639,2446,2755,2542,10791,3849,5468,5258,3386,3711,1616,938,4461,531,914,1670,901,303,774,400,395,1537,280,409,166,881,2392,969,757,1421,888
"NRCAM",1237,126,248,2215,444,299,403,993,384,283,1324,244,514,110,316,384,5361,219,147,168,168,531,728,1054,6652,2428,85,492,166,332,27,566,886,701,859,87,317,189,203,2760
"NUTM2A-AS1",844,429,478,1721,1328,1297,1682,1072,1133,418,559,1257,2091,276,1938,2024,1803,1038,671,977,878,1073,588,869,570,1231,831,1393,600,678,718,906,1207,432,582,871,893,1598,432,1191
"SLC25A12",1335,1768,1234,3060,2379,2246,2132,2215,2103,1582,1328,2739,4409,19791,3501,2656,1608,2028,548,1807,2705,2563,705,1651,1156,1567,1616,2644,1590,1151,534,1409,643,303,2783,1022,1321,891,815,1975
"DENND10",1091,530,614,1521,617,700,1871,1042,653,580,949,1135,1632,654,1321,1331,1768,1192,569,614,825,1005,514,835,846,927,723,1393,600,508,951,1141,388,368,728,1101,717,792,986,1234
"ZNF513",432,399,286,383,457,567,733,913,577,499,339,748,368,212,744,646,210,343,332,619,762,652,865,764,647,676,729,705,511,437,699,351,149,244,437,593,394,434,319,461
"HADH",24424,6474,10072,12404,6311,6298,20408,6293,5890,4547,15115,10908,8306,18014,7740,22704,20889,16680,31115,5578,7085,4344,3891,3360,2089,5239,2496,7735,3090,1364,3529,7323,911,1502,3581,7772,3098,4156,2750,8560
"RPL7P9",153,436,119,297,172,429,883,192,225,88,211,362,647,122,520,252,141,213,506,132,231,428,102,136,660,151,87,152,341,161,371,265,20,172,300,3082,539,204,197,399
"ITPKB",5300,3177,3264,4953,3086,3953,8487,3812,3200,3625,4850,6753,5694,2006,9144,8502,4731,6677,3650,5745,2973,8890,1990,5150,2530,3786,3418,5262,2561,1573,3264,3706,811,630,3655,1526,2831,3674,3216,3038
"AC004839.1",17,5,11,33,4,11,14,39,15,16,5,25,33,7,31,26,26,25,10,14,27,10,13,14,31,19,15,63,4,4,7,23,12,11,13,9,6,9,11,64
"AP000255.1",28,11,16,31,14,21,36,17,6,8,20,38,51,11,20,16,44,51,6,12,16,4,6,9,5,8,3,27,6,7,6,5,17,10,13,13,1,15,4,22
"HIF1A-AS3",21,2,21,34,20,13,30,13,8,0,19,13,29,29,24,12,41,11,3,5,4,11,19,2,3,8,6,5,3,81,19,18,150,17,7,1,2,4,15,23
"MED13L",6392,8368,5130,17518,13774,13654,7372,16557,13888,11119,8266,12944,19231,7997,24190,20900,13182,12836,6615,9716,9064,5082,2508,10560,25959,11740,7591,18058,6866,3732,1842,16072,23483,2274,7466,11837,29734,7225,2948,8441
"KLHL23",467,536,532,1297,693,793,770,994,862,530,313,1062,1461,1424,1441,1021,648,796,360,694,594,2389,243,579,666,989,1019,1819,379,394,387,994,533,193,666,1471,1331,341,440,1932
"PVALB",3,7,0,11,48,1,15,56,12,82,3,19,13,6,26,9,3,44,1,2,38,3,3,1620,10101,19,638,4,3,23,32,2,17,2087,74,3,2575,10,4,37
"ARMCX5",467,873,343,1084,818,944,955,1425,1039,605,383,1215,1673,351,1324,971,521,619,308,733,1087,602,1067,906,624,772,504,1903,692,362,502,1114,548,349,788,850,691,697,351,1814
"NCK1",2100,1488,1129,3297,1575,1691,4660,1711,2132,1196,1780,3272,4336,1200,3847,2986,2971,2287,1864,1543,1556,4056,1045,2061,1031,1507,1155,2115,905,991,858,1471,471,634,1477,2802,1262,1001,1577,2355
"CCDC85C",203,1112,467,699,1277,1462,562,1420,1299,1015,244,1039,737,585,1647,1231,303,442,199,1091,1342,872,728,818,1471,905,1932,1237,822,594,820,1348,1088,210,977,1810,1003,766,864,267
"AC104806.2",7,5,3,14,17,13,6,6,10,10,9,13,20,6,22,26,19,14,2,5,10,3,8,6,8,6,3,10,4,11,2,3,38,0,2,2,1,10,1,15
"ARFGAP3",1974,3631,1229,4870,3313,3003,4868,5293,3362,1925,1640,3901,7460,1462,3998,3152,2904,2710,1394,3002,4565,7024,4773,3269,2441,2367,3204,4902,2716,3227,945,5353,674,1244,2396,3606,3655,2157,2526,7523
"LY9",19,99,32,66,182,167,198,122,143,124,62,172,142,7,171,134,43,38,13,75,93,27,39,1792,32,112,346,37,134,43,70,14,19,17,93,429,24,223,159,33
"CCNB1",204,408,199,566,515,484,713,987,590,355,206,499,741,140,576,580,234,242,133,717,811,3756,1924,1304,1163,3007,3166,3486,1020,1127,4562,2422,224,3149,1487,9032,1855,2438,2951,4678
"ZCCHC12",9,43,6,29,36,17,69,53,85,31,76,17,107,7,116,26,9,25,16,9,9,20,2,103,16,26,5,9,10,8,0,12,0,15,5,14,2,19,4,9
"KCNJ13",0,10,1,29,13,3,0,19,7,17,0,11,13,3,21,12,7,1,1,9,20,1,32,15,6,15,5,4,2,2,0,2,357,2,10,1,2,12,3,149
"API5",3854,5230,2700,9277,5584,5993,7667,8084,6224,4261,3539,7941,13951,3325,9642,6877,6144,5189,2450,4815,8499,11727,4846,6711,7535,8080,5352,9128,4335,2716,2482,8743,1647,3246,5710,5848,4972,4339,6580,16675
"DHRS12",409,300,207,544,362,379,744,676,289,266,496,563,440,183,546,626,533,485,360,293,358,286,480,277,324,289,375,306,312,254,110,323,160,190,223,125,158,242,136,401
"RPL31",24450,84867,17074,38236,34233,52144,85976,34161,34857,25054,22734,54252,56446,19557,48324,40737,30811,34576,43766,29786,39561,29820,26101,41701,19974,32917,25892,36072,45082,19169,38354,43015,3743,25158,47836,39836,44756,26789,21303,25923
"KSR2",76,83,50,197,172,325,12,351,188,197,30,133,146,10,279,125,31,65,4,190,117,116,167,104,1214,145,115,485,79,54,3,103,392,2,328,243,302,159,56,91
"TC2N",854,8662,1333,9951,7627,7748,2164,16153,10731,4164,775,10210,24508,245,11764,6114,2795,2431,1157,8256,16690,4158,15388,9372,4148,8515,13083,16542,4449,9126,1018,22106,1224,10455,9712,2183,1460,8277,3254,22412
"PRPF31",1057,1483,790,582,909,1407,2218,1785,1142,935,968,1619,602,944,1616,1461,549,1006,977,1070,1493,1580,1601,1588,1405,1224,1776,1635,1520,1487,2228,929,169,942,1394,1546,1135,897,1174,566
"TSEN54",323,1146,460,724,947,1585,1140,1639,1225,1043,274,1176,793,252,1788,1047,338,486,379,1064,1651,1771,1425,1511,1028,1435,2268,2396,1395,1080,1230,1347,265,211,1268,5309,1775,5690,1356,1628
"AC007619.1",4,3,7,29,9,18,2,15,22,25,6,6,15,10,42,20,16,15,1,7,10,18,4,2,4,4,2,14,2,2,5,5,76,0,8,2,6,2,2,5
"TPM3",9532,8844,6476,18361,10492,9038,32325,20075,9115,7919,11748,15381,25508,307877,17975,12570,12121,14219,4528,10821,26993,29891,12062,28913,24385,24741,35431,33588,24309,12591,30002,60031,5072,17184,28331,48913,20131,26700,20830,33836
"AC107871.1",24,34,20,108,79,66,11,46,58,71,12,56,61,16,155,101,21,38,4,45,47,54,22,41,299,42,35,67,13,27,10,6,123,6,29,20,32,45,32,14
"AL031719.2",12,7,6,4,6,17,13,11,11,7,14,12,5,1,10,5,5,3,3,11,10,8,25,7,2,13,6,32,30,5,9,11,66,3,12,26,8,29,13,6
"TMPO",1584,3228,1702,5445,3868,3984,4718,4755,5614,3151,1209,4926,9243,1360,7683,5349,2535,2652,1428,3996,3652,4311,3215,6015,2866,5374,8362,7165,2498,2170,3149,4226,1254,2743,3742,20562,4808,3590,6840,11395
"RPL4P6",4,14,8,11,8,16,17,15,24,4,7,5,17,6,16,13,6,8,1,7,5,30,14,5,6,5,9,7,7,4,1,10,75,4,3,22,2,8,11,4
"ACSBG1",2,20,2,62,3,12,7,36,6,7,6,6,17,3,23,15,7,11,5,21,9,11,9,9,139,8,6,31,6,8,2243,11,31,2,4,1,3,11,11,24
"EXOSC6",2574,1688,865,4102,1742,1769,4169,2180,1688,1150,1823,2898,5544,1346,3623,3370,3171,2471,1123,1624,1147,2185,1525,1448,2810,1454,914,2847,900,1090,1042,1343,534,402,1453,1785,1380,1693,1738,3245
"ID4",2959,5675,3184,10958,4314,9735,7525,5344,10602,4837,2232,16486,16219,231,10731,8539,3446,3473,1911,8550,6488,14257,465,1039,196,1561,124,1950,773,804,112,853,81,208,1408,565,233,835,1387,2559
"TBC1D15",3841,3216,2098,6775,3364,3855,7384,4378,3996,2703,3483,6202,10680,2476,7493,5835,6201,4773,2830,2957,3664,3022,2484,3263,3173,2922,2355,4298,2080,1710,1414,3921,1442,1536,3302,4170,3085,1853,4829,5390
"TREML2",9,14,13,13,14,11,53,3,12,7,38,11,23,2,17,19,3,4,0,11,17,12,5,371,8,16,43,5,21,1,17,3,4,1,5,18,1,44,17,2
"AC009549.1",15,370,41,97,480,59,27,307,286,78,17,171,145,7,77,72,11,50,9,49,48,30,6,70,8,32,19,14,59,7,4,34,25,23,27,11,150,7,16,15
"MARCHF5",3731,3167,1579,5356,3173,3531,4818,5346,3784,2325,2062,4639,7985,2445,5340,4366,4137,3340,1817,2766,4479,4015,3333,3944,2921,3275,2726,6132,2759,1704,2635,4999,947,1961,2801,4390,2387,2788,2380,4981
"GTF2F2",1029,1380,540,1770,1143,1289,2336,1891,1464,863,788,1769,2438,1775,1733,1352,1055,1003,647,971,1187,3082,1115,1365,1653,1641,1416,1496,1195,973,813,1428,242,828,1034,1210,1366,878,1160,2444
"LACC1",691,378,391,1547,692,577,1568,926,521,460,622,825,1398,106,1033,752,1262,672,217,468,332,799,942,811,532,593,678,653,643,752,480,448,107,237,506,517,267,637,601,1155
"MYO9A",2160,2575,2595,7777,4739,4608,3104,4871,4936,4456,2792,4802,8111,3280,10215,7187,4552,4139,1500,4151,2943,2785,1288,2488,11130,4336,1914,3636,1524,1355,729,3542,5607,817,2263,1876,1183,1979,2864,4691
"PCDHGB6",293,150,282,447,303,188,278,255,286,217,361,390,533,155,530,592,336,486,155,199,122,82,188,96,55,131,36,78,107,134,15,39,217,58,117,35,49,216,42,143
"NKAPL",295,43,113,170,38,62,364,49,96,53,268,196,112,348,165,263,213,163,140,54,26,19,9,23,7,32,25,23,25,12,3,12,7,21,21,8,16,15,15,33
"GMDS",473,1386,535,1066,1150,1288,1361,2474,1450,610,515,1193,1298,209,1063,1047,601,795,322,928,2565,1944,3253,1513,1520,1885,2677,2731,1800,520,1006,2380,322,1062,1140,3443,1141,1390,2116,1534
"SPSB4",95,7,90,101,64,8,697,72,14,8,42,26,126,116,36,13,20,272,57,31,22,70,20,15,46,42,24,66,80,77,21,1,11,26,57,60,27,42,71,45
"ALDH4A1",12099,1451,3871,4331,1765,1692,9019,8133,1513,1805,10065,4588,1910,9182,3418,5773,16100,6369,2386,1879,1461,1013,21045,1627,6508,2974,4660,1826,1785,1093,780,3599,269,2408,1055,1537,683,1572,1158,1668
"DET1",62,73,51,146,135,298,45,59,165,173,38,107,163,48,316,164,49,47,29,82,146,52,23,52,131,43,35,148,42,41,23,20,531,4,58,23,39,60,37,46
"SKI",9677,6646,6141,12970,7870,7781,12265,8385,7309,6718,9450,9771,13523,2694,13034,12525,10009,15692,5011,6722,7191,6720,3253,6222,8241,6323,4340,6041,5192,4431,8370,5119,2251,3418,6027,5946,3301,11469,5218,6734
"HSD3BP1",0,0,0,4,0,1,0,755,0,0,0,0,0,0,1,0,1,1,0,1,1,27,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"PRKCE",791,860,505,1726,1116,887,1243,1319,1064,809,635,1518,1883,788,1848,1848,988,1013,468,815,915,686,294,848,1577,620,199,1399,321,299,1044,956,1259,120,720,646,1142,724,586,821
"ACTN3",5,5,11,5,9,3,15,5,4,7,6,4,3,65045,14,5,0,8,0,5,3,17,4,3,5,6,6,0,13,10,10,1,29,1,3,3,0,16,1,3
"NEK8",71,226,74,229,335,464,158,476,394,275,65,308,247,26,422,265,71,108,65,275,425,192,1353,452,777,385,531,479,209,245,56,278,257,258,203,324,325,294,148,1485
"ARHGAP10",3753,924,1580,2726,1441,900,4371,1947,1124,1018,3886,3599,2325,3148,2705,3698,4741,3584,2006,924,560,561,2022,806,489,1024,302,413,992,524,886,270,1656,717,471,809,234,765,592,1790
"AC007238.1",31,26,15,24,28,21,49,24,30,12,34,30,34,20,55,25,19,23,14,17,16,5,23,13,44,27,21,40,17,27,10,23,8,8,14,29,33,20,13,21
"TARBP2",488,764,363,632,657,1206,1294,1390,883,673,352,886,637,568,1090,919,371,493,513,730,1127,693,1444,1301,898,1079,1575,1588,1110,1134,530,1198,345,842,791,1277,629,1216,570,783
