"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"NELL2",1.5,2,1.5,1,1.5,1.5,1,1.5,1,1.5,1,1,2,2.5,1,1,2,1,1,1,1,1,1.5,0.5,3.5,2,1,1,1,2.5,2.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2.5,3,2,2,1,0.5,1,1.5,1,1.5
"NEMF",1,2,1,1,2,2.5,1,1,1,1,0.5,1,1.5,2.5,1,0.5,2,0.5,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1.5,1.5,1,1.5,1,1.5,1,1,1,1.5,2,2,1,1,1.5,1,1.5,1,1
"NEMP1",1.5,2,1.5,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,1,1,1,1,1,1.5,0.5,2,2,1,1,1,2.5,1.5,2,1.5,3,1,1,1,2,1,1.5,1,1.5,2,2,2,1,1,1,1.5,1,1
"NEMP2",1,1.5,2,1,2.5,1,1,1.5,1.5,1,1,1,2.5,1,1,1,1,1,1,1,1.5,1,2,1.5,3,1,1,2,1,1.5,1.5,2,1,1.5,1,1,1,2,1,1.5,1,1.5,3,2.5,1.5,1,1,1,2,1,1.5
"NENF",2,1.5,2,1,2.5,1.5,1,2,2,1.5,1,1,2,2,1,1.5,1.5,1.5,1,1,1.5,1,2,1,2,1.5,1.5,1,1,2,1.5,2,1.5,1.5,1,1.5,1,2,1,2.5,1,1.5,1.5,2,1.5,1,1,1,2.5,1,1
"NEO1",1.5,1.5,2,1,1.5,1,0.5,1,1.5,1.5,0.5,1,2,2,1,1,2.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1
"NEPRO",2,1.5,2,1.5,2,1.5,1,2,1.5,1.5,1.5,1,2,3.5,1,1.5,2,1.5,0.5,1,2,1,2,1,2,3,1,1,1.5,1.5,3,3,1,3,1.5,2.5,1.5,3.5,1,2,1,2,2,2,1.5,1.5,1.5,1,2,1,1.5
"NES",2,1.5,2,1,3,1.5,1,1.5,2,1,1,1.5,2,2,1,1.5,1.5,1.5,1,1,1.5,1,2,1,2,3,1.5,1,1,3,3.5,2,1,2,1,1.5,1,2,1,2.5,1,1.5,1.5,2,1.5,2,1,1,2.5,1,1
"NET1",1.5,2,1.5,1,1,1.5,1,1.5,2,1,1,1,1,1,1,1,2,1,0.5,1,1,1,1.5,1,2,1.5,0.5,1,1,1,1.5,1,1.5,1,0.5,0.5,0.5,1.5,1,1.5,1,2,1,3,1,1,1,1,2,1,1.5
"NETO2",1,1,1.5,1,2,1.5,1,1,1,1.5,0.5,1,1.5,2,1.5,1,1,1,1,1,0.5,0.5,1.5,1,2,1,1,1,1,1.5,1,1.5,1,1,1,0.5,1,2,1,0.5,1,3.5,1,1.5,1.5,1,1,1,2,0.5,1
"NEU3",1,2,1.5,1,2,2,1.5,1.5,1.5,1,1,0.5,2.5,2,1,1,1.5,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1.5,1,1.5,1.5,1,1,1.5,0.5,1.5,1,2,1,1.5,1,2.5,2,1.5,1.5,1,1,1,1.5,1,1.5
"NEURL1",1.5,1,1,1,1.5,1.5,1,0.5,1.5,1,0.5,0.5,1,1,1,1,2,1,1,1,1.5,0.5,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,0.5,1,0.5,1.5,1,1.5,1,1,2,1.5,1,1,1,1,1,0.5,1.5
"NEURL1B",2,1.5,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,2,1,1,0.5,1,1,1,0.5,1.5
"NEURL2",1.5,1.5,2,1,2,2,1.5,1.5,1.5,3,1,1,2,2,1,1,2,1.5,1,1,1,1.5,3.5,1,1,1,1,1,1,1.5,2.5,1,1,1.5,1,1.5,1,2,1,1.5,1,3,1,2.5,2,1,1.5,1,3,1,1.5
"NEURL3",1.5,1.5,2,1,2,1.5,1,2,1.5,1,1,1,2.5,2,1,1,2,1,1,1,1.5,1,3,1,2,2,2,1,1,2.5,1.5,2,1,2,1,1.5,1,2,1,1.5,1,1.5,2.5,2.5,1.5,1,1,1.5,2,1,1.5
