"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"A1BG-AS1",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"A2ML1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"A4GALT",1,0.5,1,0.5,1.5,1,1,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,0.5,1,1,1,1.5,1,1
"A4GNT",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2,0.5,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AAAS",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"AACS",1,0.5,1,1,0.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"AADAC",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,0,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AADACL2",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AADACP1",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AADAT",1.5,0.5,1,0.5,1,2.5,1,1,1.5,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,2.5,1,1,1.5
"AAGAB",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,1,1,1
"AAK1",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AAMDC",3,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1,1,1,1,2,1,2.5,1,1.5,1,2.5,1.5,1,1,1.5
"AAMP",1.5,1,1,1,2,2,1,1,1,1,1.5,0.5,1,1.5,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AAR2",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,2.5,1,1,2.5,1,1.5,2,1,1,1,1.5,1.5,1,2,1.5,2.5,1.5,1.5,2,3,1.5,1.5
"AARD",2.5,1,1,2,2.5,3,1.5,1,1,1,2.5,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AARS1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AARSD1",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AASDH",1,0.5,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,2,1,1,1,1,1,1.5
"AASDHPPT",1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1.5,0.5,1,1,1,1,1.5
"AASS",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"AATBC",1,0.5,1,0.5,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,2,1,1,1,0.5,0.5,0.5,1,1.5,1,1,0.5,1,0.5,1,1
"AATF",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"AATK",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"ABAT",1,0.5,1,1.5,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,2.5,1,1,1.5,1,1.5
"ABCA1",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,1,1.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"ABCA10",1,0.5,1,1,1.5,2,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"ABCA12",1.5,1,1,1,2,2,1,1,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"ABCA13",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"ABCA17P",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"ABCA3",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"ABCA4",1,0.5,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"ABCA5",1,0.5,1,1,1.5,2,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"ABCA6",1,0.5,1,1,1.5,2,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"ABCA7",1,1,1,1,1.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,2
"ABCA8",1,0.5,1,1,1.5,2,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0,1.5,1,1,1,1,2,1,1.5
"ABCA9",1,0.5,1,1,1.5,2,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0,1.5,1,1,1,1,2,1,1.5
"ABCB10",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,0.5,1.5,1.5,2.5,1,1,1.5,2,1,1
"ABCB5",1.5,1,1,1.5,2.5,2.5,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"ABCB8",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"ABCB9",1,0.5,1,1,0.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"ABCC10",1,0.5,1,1.5,3.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,2,1.5,1.5,1,1
"ABCC11",1.5,0.5,1,0.5,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"ABCC13",1,0.5,1,1,0,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,0,1.5,1,1,0,1,1.5,1,1
"ABCC2",1,0.5,1,1,1,2,1,1,1,0.5,2,1,1,0.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1,1,1,1,1,1,1
"ABCC3",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"ABCC4",0.5,1,1,2.5,2.5,2.5,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,2,1.5,1.5,1,1,2,1.5,1.5,1
"ABCC8",1,1,1,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,1.5,1,1,1.5,1,1,1.5
"ABCC9",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,3.5,1,1,2,1,1.5
"ABCD2",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,0.5,1,0.5,2,1,1.5
"ABCD3",1,0.5,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"ABCD4",0.5,0.5,1,1,1.5,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1
"ABCE1",1.5,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,2.5,1,1.5,1,1,1.5
"ABCF1",1,0.5,1,1.5,2.5,2,1,1,1,1.5,1,1,1,1.5,1,1,1.5,0.5,1,1,1,1,1,1.5,1,1.5,1,1,1.5,1.5,1,1
"ABCF2",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"ABCG1",1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,1,1.5,1,1,0.5,1,0.5,1,1
"ABCG2",1,0.5,1,1,1,2,1,0.5,0.5,0.5,1,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,0.5,1,1,1.5
"ABCG4",1,1,1,1,2,1.5,1,1,1,2,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,2.5,1,1.5,0.5,1,1,1,1,1.5
"ABCG5",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"ABCG8",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"ABHD1",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"ABHD10",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"ABHD11",1,1,1,1,2,2,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,1,2.5,1,1,1,2,1,1
"ABHD11-AS1",1,1,1,1,2,2,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,1,2.5,1,1,1,2,1,1
"ABHD12",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,1.5,1,1,2.5,1,1.5,2,1,1,1,1.5,0.5,1,1.5,1.5,2.5,1,1.5,2,1.5,1.5,1.5
"ABHD12B",0.5,0.5,1,1,1.5,1,1,1,0.5,3,1,1,1,1,1,1,1.5,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1.5,3.5,1,1
"ABHD13",0.5,1,1,2,2.5,2.5,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3.5,1.5,1.5,1,1,2,1.5,1.5,1
"ABHD14A",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"ABHD14B",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"ABHD15",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,2,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1,2,1,1.5
"ABHD17A",1,1,1,1,1.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,2
"ABHD17C",1,0.5,1,1,2,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,3.5,1,1
"ABHD5",0.5,0.5,1,1,1,1,1.5,1,0.5,1,0.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"ABHD6",0.5,0.5,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"ABHD8",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"ABI2",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"ABI3",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,0.5,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"ABI3BP",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"ABITRAM",1.5,0.5,1,1,1.5,2,1,1,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,3.5,1,1,1
"ABL1",1.5,0.5,1,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"ABL2",1.5,0.5,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,1.5,3.5,2.5,1,1,1.5,2,1,1
"ABLIM1",1,0.5,1,1,1.5,2,1,1,1,1,2,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,2,1,1.5,1,2,1,1,1,1
"ABLIM2",1,0.5,1,0.5,3.5,1,1,1,0.5,0.5,0.5,1,1,1.5,1,1,1.5,1,1,1,0.5,1,0.5,2.5,2,1.5,1,1,1,0.5,1,1.5
"ABO",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"ABR",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"ABRA",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1.5,1.5,1.5,1,2,1.5
"ABRACL",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,2,1,1,3.5,1,1,1
"ABRAXAS1",1,0.5,1,1,2.5,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,0.5,1,1,1.5
"ABRAXAS2",1,0.5,1,1,1.5,2,1,1,1,1,2,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,2,1,1.5,1,2,1,1,1,1
"ABT1",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,1,1.5,1.5,1,1
"ABTB1",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"ABTB2",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,2,1,1,1.5,1,1,1.5
"AC000123.1",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC000123.3",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC000403.1",0.5,1,1,2.5,2.5,2.5,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3.5,1.5,1.5,1,1,2,1.5,1.5,1
"AC001226.2",0.5,1,1,2.5,2.5,2.5,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3.5,1.5,1.5,1,1,2,1.5,1.5,1
"AC002044.2",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC002074.1",0.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,3.5,1,3.5,1,3.5,1,1,1,3.5,1,1
"AC002091.2",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,1.5,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1.5
"AC002128.1",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,2,1,1,1,3,1,2
"AC002350.2",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"AC002451.1",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,3.5,1,3.5,1,3.5,1,1,1,3.5,1,1
"AC002467.1",1,0.5,1,1,1,2.5,1,1,1,0.5,2,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"AC002470.1",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"AC002511.1",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,2,1,1,1,3,1,2
"AC002511.2",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,2,1,1,1,3,1,2
"AC002546.1",1,0.5,1,1,1.5,2,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC002558.1",1,0.5,1,1,1.5,1,1,1,1,1.5,2.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC002558.3",1,0.5,1,1,1.5,1,1,1,1,1.5,2.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC003072.1",1,0.5,1,0.5,1.5,1,1,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"AC003102.1",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC003681.1",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"AC004057.1",2,0.5,1,0.5,1,2.5,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,1.5,1,1,1.5
"AC004067.1",2,0.5,1,0.5,1,1,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,1.5,1,1,1.5
"AC004076.2",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"AC004130.2",1.5,1,1,1.5,2.5,2.5,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC004148.1",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"AC004160.1",1.5,1.5,1,1.5,2.5,2.5,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC004233.2",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"AC004233.4",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"AC004241.1",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"AC004241.5",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"AC004264.2",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"AC004453.1",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"AC004477.2",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC004492.1",1,0.5,1,1,1,2.5,1,1,1,0.5,2,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"AC004494.1",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"AC004540.1",1.5,1,1,1.5,2.5,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC004594.1",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"AC004596.1",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC004637.1",1,1,1,1,1.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,2
"AC004687.1",1,0.5,1,1,1.5,1.5,1,0.5,1,0.5,1.5,1.5,1,1,0.5,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC004706.1",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1.5
"AC004706.3",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1.5
"AC004707.1",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC004765.1",3,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1.5,0.5,1,1,2,1,1.5
"AC004801.6",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"AC004803.1",3,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1.5,0.5,1,1,2,1,1.5
"AC004816.1",0.5,0.5,1,1,1.5,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1
"AC004832.5",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"AC004839.1",1,0.5,1,1,1,2.5,1,1,1,0.5,2,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"AC004846.1",0.5,0.5,1,1,1.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1
"AC004847.1",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"AC004890.1",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC004890.2",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC004938.2",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"AC004943.1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC004943.2",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC004947.1",1.5,1,1,1.5,2.5,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC004947.2",1.5,1,1,1.5,2.5,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC004951.4",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"AC004982.1",1.5,1.5,1,1.5,2.5,2.5,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC004982.2",1.5,1.5,1,1.5,2.5,2.5,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC005005.3",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"AC005005.4",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
